Month,India,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Jan,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,69.85,2,2,0,0,1.5,1,0.67,0,4.85,0.833,6.08,2,0.27,2.7,0,4.15,11.7,0.65,0,4.27,10.8,0.14,0,0.16,0,0.19,0.076,2.05,3.7,0,3.7,3.95,0,5.05,0.4375,2
April,1055.1,0.766,43.066,0.035,1.31,12.56,1.43,1,0,111.4,0.067,133.63,9,1.23,17.56,3.68,15.06,8.7,0.3,0,83.8,323.3,0.03,0.75,0,0,4.07,0.23,10.53,78.8,0,69.6,31.1,0.083,67.77,1.6,24.4
May,4809.45,0,72.16,0.096,37,104.64,7.51,13.19,0.086,487.4,2.03,395.51,52.03,8.806,56.77,14.7,77,23,1.68,0,171.93,1782.35,1.93,0.48,0,6,54.64,1.38,60.51,199.32,0.125,613.61,47.97,8.58,171.32,22.39,141.03
June,12823.33,1.9,344.06,6.1,218.9,200.13,4.87,77.13,6.7,2220.4,37.6,519.83,409.57,20.96,163.2,62.1,379.1,99.36,29.66,0,182.63,3490.5,38.8,0.67,4.9,13.26,168,18.93,106.17,301.43,2.9,2168,429.83,37.07,512.77,69.4,425.9
July,34581.62,12.29,3763.41,41.83,988.87,1252.8,18.74,193.54,27.77,1588.45,145.35,914.41,647.36,50.45,407.48,249.7,3365.7,584.32,13.35,0,567.67,7803.7,41.22,24.38,8.38,36.51,758.67,86.42,323.8,725.322,16.84,4959.81,1462.03,107.29,1877.77,136.58,1605.97
August,63947.58,84.93,9453.56,82.25,2173.12,2792.19,101.25,688.09,41.16,1257.64,364.51,1120.12,936.38,110.93,557.87,911.87,7009.54,1662.96,40.64,0,1015,11899.7,116.35,49.67,19.45,76,2276,349.32,1195.8,1287.73,32.81,5874.42,2072.45,223.81,4664.29,392.58,2970.74
September,86817.26,23.9,8752.8,183.96,2381.56,1541.66,255.36,2685.43,23.06,3431.16,525.76,1361.1,2123.07,293.4,1231.07,1470.17,8566.1,3780.7,51.9,0,2120.33,19514.67,154.47,104,32.5,70.6,3824.73,431.3,1997.8,1763.07,43.67,5661.93,2214.1,469.67,5640.8,958.67,3132.77
October(upto 18th),70488.22,14.55,5099.72,210.83,1287.22,1231.77,98.11,2658.16,8.22,2855.16,423.5,1257.27,1228.17,225,737.16,745.94,9203.5,8164,74.38,0,1839.72,12232.89,244.16,163.38,14.83,92.11,2814.94,328.44,816.33,2120.11,35,5085.72,1706.94,207.44,3211.33,536.28,3515.83